Fecha;Qué hice ayer?;Qué haré hoy?;Impedimentos
27/03/2026;Reunión de kickoff, análisis de requerimientos del sistema OCR;Diseñar arquitectura C4 y diagramas de BD;Ninguno
30/03/2026;Reunión de kickoff, análisis de requerimientos del sistema OCR;Diseñar arquitectura C4 y diagramas de BD;Ninguno
31/03/2026;Diseñar arquitectura C4 y diagramas de BD;Definir entidades de Dominio (Dossier, Activity);Falta confirmación de reglas de negocio
01/04/2026;Diseñar arquitectura C4 y diagramas de BD;Definir entidades de Dominio (Dossier, Activity);Falta confirmación de reglas de negocio
02/04/2026;Definir entidades de Dominio;Diseñar modelo de base de datos relacional;Ninguno
03/04/2026;Definir entidades de Dominio;Diseñar modelo de base de datos relacional;Ninguno
06/04/2026;Diseñar modelo de base de datos relacional;Configurar proyecto FastAPI y SQLAlchemy;Ninguno
07/04/2026;Diseñar modelo de base de datos relacional;Configurar proyecto FastAPI y SQLAlchemy;Ninguno
08/04/2026;Configurar proyecto FastAPI y SQLAlchemy;Implementar repositorios base SQL;Ninguno
09/04/2026;Configurar proyecto FastAPI y SQLAlchemy;Implementar repositorios base SQL;Ninguno
10/04/2026;Implementar repositorios base SQL;Desarrollar migraciones de BD (Alembic);Ninguno
13/04/2026;Implementar repositorios base SQL;Desarrollar migraciones de BD (Alembic);Ninguno
14/04/2026;Desarrollar migraciones de BD (Alembic);Crear Endpoints CRUD para Activity y Configuración;Ninguno
15/04/2026;Desarrollar migraciones de BD (Alembic);Crear Endpoints CRUD para Activity y Configuración;Ninguno
16/04/2026;Crear Endpoints CRUD para Activity y Configuración;Definir Value Objects (DNI, DocumentCode);Ninguno
17/04/2026;Crear Endpoints CRUD para Activity y Configuración;Definir Value Objects (DNI, DocumentCode);Ninguno
20/04/2026;Definir Value Objects;Refactorizar entidades aplicando DDD;Dudas sobre límites de agregados
21/04/2026;Definir Value Objects;Refactorizar entidades aplicando DDD;Dudas sobre límites de agregados
22/04/2026;Refactorizar entidades aplicando DDD;Investigar SDK de Azure Document Intelligence;Ninguno
23/04/2026;Refactorizar entidades aplicando DDD;Investigar SDK de Azure Document Intelligence;Ninguno
